iter	Passed	Remaining
0	4	429
1	7	378
2	11	373
3	14	351
4	18	346
5	21	337
6	24	331
7	28	324
8	32	323
9	35	319
10	38	314
11	42	311
12	45	306
13	49	303
14	52	298
15	56	294
16	59	292
17	63	290
18	67	286
19	70	283
20	74	279
21	77	275
22	81	271
23	85	269
24	88	265
25	91	261
26	95	257
27	98	253
28	102	249
29	105	246
30	108	242
31	112	239
32	116	236
33	119	232
34	123	228
35	126	225
36	130	221
37	133	218
38	137	214
39	140	211
40	144	207
41	145	200
42	149	197
43	153	194
44	157	191
45	161	189
46	164	185
47	168	182
48	171	178
49	175	175
50	178	171
51	182	168
52	185	164
53	188	160
54	190	156
55	194	152
56	197	149
57	201	145
58	204	142
59	207	138
60	211	135
61	215	131
62	218	128
63	222	124
64	225	121
65	228	117
66	232	114
67	235	110
68	239	107
69	242	103
70	245	100
71	249	96
72	253	93
73	257	90
74	260	86
75	264	83
76	267	79
77	270	76
78	274	72
79	278	69
80	281	66
81	284	62
82	288	58
83	291	55
84	294	52
85	298	48
86	301	45
87	305	41
88	308	38
89	312	34
90	315	31
91	318	27
92	321	24
93	325	20
94	328	17
95	331	13
96	334	10
97	338	6
98	341	3
99	346	0
